user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
A180.CE.5_bin.33.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA6857;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA6857;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_945863885.1, s__UBA6857 sp945863885, 95.0, 88.47, 0.286; GCA_900767015.1, s__UBA6857 sp900767015, 95.0, 87.56, 0.239; GCA_022779945.1, s__UBA6857 sp022779945, 95.0, 86.95, 0.192	73.49	11	0.99058	N/A
A180.CE.5_bin.44.orig	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__RUG410;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__RUG410;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	57.55	11	0.93269	N/A
A180.CE.5_bin.5.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS363;s__	N/A	N/A	N/A	N/A	N/A	GCA_022769565.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS363;s__UMGS363 sp022769565	89.93	0.445	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS363;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	66.52	11	0.99079	N/A
A180.CE.5_bin.56.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	47.32	11	0.96681	N/A
A180.CO.1_bin.43.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	56.14	11	0.92079	N/A
A180.CO.2_A180.CO.2_bin.14.permissive	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	40.73	11	0.94446	N/A
A180.CO.2_A180.CO.2_bin.18.orig	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Fluviibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Fluviibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	76.63	11	0.973	N/A
A180.CO.2_A180.CO.2_bin.23.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MD308;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MD308;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	68.73	11	0.93191	Genome has more than 19.2% of markers with multiple hits
A180.CO.2_A180.CO.2_bin.47.orig	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__MGBC163490;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__MGBC163490;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	59.51	11	0.96513	N/A
A180.CO.2_A180.CO.2_bin.54.permissive	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__DATGWF01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__DATGWF01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	85.88	11	0.95802	N/A
A180.CO.2_A180.CO.2_bin.64.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.65	11	0.94809	N/A
A180.CO.3_A180.CO.3_bin.2.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__Firm-07;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__Firm-07;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	43.01	11	0.95138	N/A
A180.CO.3_A180.CO.3_bin.25.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_946061515.1, s__Limivicinus sp946061515, 95.0, 89.64, 0.365; GCA_022782265.1, s__Limivicinus sp022782265, 95.0, 89.59, 0.413; GCA_022787565.1, s__Limivicinus sp022787565, 95.0, 88.49, 0.334	50.14	11	0.9917	N/A
A180.CO.3_A180.CO.3_bin.37.strict	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	49.13	11	0.96874	N/A
A180.CO.4_A180.CO.4_bin.45.orig	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__UMGS1498;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__UMGS1498;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	83.54	11	0.96461	N/A
A180.CO.4_A180.CO.4_bin.58.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	49.38	11	0.8886	N/A
A180.CO.4_A180.CO.4_bin.6.strict	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS2055;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS2055;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	83.78	11	0.92728	N/A
A180.CO.4_A180.CO.4_bin.64.strict	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG11462;s__	N/A	N/A	N/A	N/A	N/A	GCA_036308645.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG11462;s__RUG11462 sp036308645	85.84	0.26	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG11462;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	84.45	11	0.98988	N/A
A180.CO.4_A180.CO.4_bin.86.permissive	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-314;g__Fimimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-314;g__Fimimonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	76.13	11	0.93272	N/A
A180.CO.6_bin.35.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	69.26	11	0.97725	N/A
A180.CO.6_bin.72.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	67.79	11	0.94021	N/A
A180.CO.6_bin.73.orig	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__RUG14219;s__	N/A	N/A	N/A	N/A	N/A	GCA_017942035.1	95.0	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__RUG14219;s__RUG14219 sp017942035	84.66	0.293	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__RUG14219;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	95.65	11	0.97496	N/A
A240.CE.2_bin.140.strict	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__	N/A	N/A	N/A	N/A	N/A	GCA_945949875.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__1XD8-76 sp945949875	87.18	0.181	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	64.93	11	0.97888	N/A
A240.CE.2_bin.15.strict	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-303;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-303;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	85.88	11	0.94235	N/A
A240.CE.2_bin.160.permissive	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-267;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-267;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017621635.1, s__CAG-267 sp017621635, 95.0, 82.78, 0.164; GCA_017939155.1, s__CAG-267 sp017939155, 95.0, 82.23, 0.185	93.17	11	0.98935	N/A
A240.CE.2_bin.23.strict	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAKRHR01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAKRHR01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	66.84	11	0.95502	N/A
A240.CE.2_bin.29.permissive	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	35.25	11	0.98627	N/A
A240.CE.2_bin.5.strict	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MGBC120314;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MGBC120314;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	80.7	11	0.92328	N/A
A240.CE.2_bin.7.strict	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Colivicinus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Colivicinus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	75.71	11	0.98384	N/A
A240.CE.2_bin.70.strict	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	60.46	11	0.97078	N/A
A240.CE.2_bin.84.permissive	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA5884;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA5884;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	78.77	11	0.94433	N/A
A240.CE.2_bin.88.strict	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	84.87	11	0.96532	N/A
A240.CE.2_bin.90.strict	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotonthovivens;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotonthovivens;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	81.49	11	0.9731	N/A
A240.CE.2_bin.96.strict	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	37.97	11	0.82083	N/A
A240.CE.3_bin.120.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	N/A	N/A	N/A	N/A	N/A	GCA_945923775.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp945923775	87.76	0.225	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003531585.1, s__CAG-115 sp003531585, 95.0, 87.97, 0.22	44.58	11	0.99858	N/A
A240.CE.3_bin.125.strict	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotonthovivens;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotonthovivens;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.15	11	0.97295	N/A
A240.CE.3_bin.15.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RGIG3102;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RGIG3102;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	74.72	11	0.95806	N/A
A240.CE.3_bin.49.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	73.75	11	0.92573	N/A
A240.CE.3_bin.62.strict	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__RUG14121;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__RUG14121;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	62.65	11	0.96597	N/A
A240.CE.3_bin.8.orig	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAKPTA01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAKPTA01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	81.14	11	0.97702	N/A
A240.CE.3_bin.85.permissive	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__	N/A	N/A	N/A	N/A	N/A	GCA_004562175.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp004562175	N/A	N/A	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_945949475.1, s__Phascolarctobacterium_A sp945949475, 95.0, 89.64, 0.156; GCA_900553055.1, s__Phascolarctobacterium_A sp900553055, 95.0, 89.08, 0.174; GCA_034086985.1, s__Phascolarctobacterium_A sp034086985, 95.0, 86.79, 0.229	42.0	11	0.99069	N/A
A240.CE.4_bin.143.orig	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA5905;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA5905;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.97	11	0.95755	N/A
A240.CE.4_bin.163.strict	d__Bacteria;p__Bacillota;c__Clostridia;o__UMGS1810;f__UMGS1810;g__SIG430;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__UMGS1810;f__UMGS1810;g__SIG430;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	44.9	11	0.91117	N/A
A240.CE.4_bin.20.strict	d__Bacteria;p__Bacillota;c__Clostridia;o__UBA1381;f__UBA1381;g__JAFLUR01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__UBA1381;f__UBA1381;g__JAFLUR01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	56.35	11	0.92421	N/A
