user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
14159_bins.203	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__RUG666;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__RUG666;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	53.57	11	0.97634	Genome has more than 10.0% of markers with multiple hits
14159_bins.206	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.2%)
14159_bins.209	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA6857;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA6857;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	59.77	11	0.91389	N/A
14159_bins.210	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
14159_bins.213	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
14159_bins.222	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.0%)
14159_bins.224	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Fimadaptatus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Fimadaptatus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	83.7	11	0.95047	N/A
14159_bins.238	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-1193;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-1193;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	77.34	11	0.96575	N/A
14159_bins.239	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.79	11	0.92849	N/A
14159_bins.245	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__HGM11416;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__HGM11416;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	35.44	11	0.97682	N/A
14159_bins.247	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__	N/A	N/A	N/A	N/A	N/A	GCA_945877525.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp945877525	92.01	0.302	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	43.57	11	0.98289	N/A
14159_bins.251	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	11.97	11	0.94254	N/A
14159_bins.262	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.6%)
14159_bins.266	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.1%)
14159_bins.267	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
14159_bins.270	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.4%)
14159_bins.273	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
14159_bins.283	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_004558115.1, s__Oscillibacter sp004558115, 95.0, 89.4, 0.328; GCA_021771265.1, s__Oscillibacter sp021771265, 95.0, 88.33, 0.275; GCA_934590165.1, s__Oscillibacter sp934590165, 95.0, 88.08, 0.35	27.54	11	0.98297	N/A
14159_bins.287	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.3%)
14159_bins.288	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_945877405.1, s__Bulleidia sp945877405, 95.0, 85.91, 0.185; GCA_016293365.1, s__Bulleidia sp016293365, 95.0, 85.76, 0.165	54.81	11	0.99016	N/A
14159_bins.297	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Faecivicinus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Faecivicinus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	70.1	11	0.95399	Genome has more than 20.0% of markers with multiple hits
14159_bins.306	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.4%)
14159_bins.31	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.7%)
14159_bins.310	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.7%)
14159_bins.313	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.8%)
14159_bins.315	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
14159_bins.317	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
14159_bins.318	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.1%)
14159_bins.319	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_022782265.1, s__Limivicinus sp022782265, 95.0, 90.24, 0.525; GCA_946061515.1, s__Limivicinus sp946061515, 95.0, 89.39, 0.473; GCA_022787565.1, s__Limivicinus sp022787565, 95.0, 88.71, 0.45	88.98	11	0.99206	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
14159_bins.32	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.1%)
14159_bins.320	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
14159_bins.323	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CALVUP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CALVUP01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	45.91	11	0.95365	N/A
14159_bins.33	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
14159_bins.337	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
14159_bins.341	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.4%)
14159_bins.345	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.4%)
14159_bins.346	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.6%)
14159_bins.353	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JALFVM01;s__	N/A	N/A	N/A	N/A	N/A	GCA_022787145.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JALFVM01;s__JALFVM01 sp022787145	88.58	0.238	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JALFVM01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_030536755.1, s__JALFVM01 sp030536755, 95.0, 89.48, 0.352	21.29	11	0.99109	N/A
14159_bins.356	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.7%)
14159_bins.357	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
14159_bins.367	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	45.49	11	0.97727	N/A
14159_bins.369	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
14159_bins.37	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	10.78	11	0.6994	N/A
14159_bins.376	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.0%)
14159_bins.378	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
14159_bins.380	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.6%)
14159_bins.389	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
14159_bins.393	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.4%)
14159_bins.399	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.6%)
14159_bins.401	d__Bacteria;p__Bacillota;c__Tb-RUG-66;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Tb-RUG-66;o__;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	11.36	11	0.49468	backbone tree has incongruent class classification
14159_bins.402	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.7%)
14159_bins.405	d__Bacteria;p__Bacillota;c__Clostridia;o__HGM11327;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__HGM11327;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	12.19	11	0.57899	Genome domain questionable ( 13.3% Bacterial, 5.7% Archaeal);backbone tree has incongruent class classification
14159_bins.408	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.8%)
14159_bins.411	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
14159_bins.415	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	11.5	11	0.96331	N/A
14159_bins.418	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	23.49	11	0.96343	N/A
14159_bins.419	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
14159_bins.42	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.6%)
14159_bins.422	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Colivicinus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Colivicinus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	55.8	11	0.98385	N/A
14159_bins.427	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
14159_bins.428	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.2%)
14159_bins.433	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__UMGS995;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__UMGS995;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_948434005.1, s__UMGS995 sp948434005, 95.0, 83.51, 0.166; GCA_947632545.1, s__UMGS995 sp947632545, 95.0, 83.42, 0.159	79.96	11	0.96978	N/A
14159_bins.434	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.1%)
14159_bins.44	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.4%)
14159_bins.444	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.7%)
14159_bins.445	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
14159_bins.447	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__UMGS1449;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__UMGS1449;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	64.44	11	0.96352	N/A
14159_bins.453	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA6857;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA6857;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_900767015.1, s__UBA6857 sp900767015, 95.0, 85.66, 0.158; GCA_945863885.1, s__UBA6857 sp945863885, 95.0, 85.2, 0.209	66.26	11	0.97918	N/A
14159_bins.455	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	68.21	11	0.87485	N/A
14159_bins.457	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.4%)
14159_bins.465	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
14159_bins.467	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.7%)
14159_bins.47	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
14159_bins.470	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.7%)
14159_bins.478	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.4%)
14159_bins.486	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.6%)
14159_bins.487	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	11.0	11	0.74886	Genome domain questionable ( 11.7% Bacterial, 3.8% Archaeal)
14159_bins.488	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.3%)
14159_bins.491	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.4%)
14159_bins.494	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.9%)
14159_bins.499	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.6%)
14159_bins.67	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.8%)
